"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-13.4331941273652,0.000137889212322893,-97420.1962653096,0
"cvd_flag",0.572477000905988,0.00014525907546968,3941.07561992215,0
"rheumt_flag",0.715209643691779,0.000137804706720683,5190.02333600579,0
"deprss_flag",0.620919657290396,0.000145259080809216,4274.56688994138,0
"Frlt_or_Dmnt_flag",1.09731143613199,0.000145259083889274,7554.16740042523,0
"old_multi_flag",-0.0165819627272547,0.000137889557682685,-120.255391386587,0
"multi_gen_flag",0.0994710188883622,0.187169026016478,0.53145021377418,0.595106832848342
