gender,lsoa_11,count,count_all,rate
Female,E01007309,29,825,3.52
Male,E01007309,17,793,2.14
Female,E01007310,25,721,3.47
Male,E01007310,14,704,1.99
Female,E01007311,30,736,4.08
Male,E01007311,13,754,1.72
Female,E01007312,33,818,4.03
Male,E01007312,13,781,1.66
Female,E01007313,33,850,3.88
Male,E01007313,27,785,3.44
Female,E01007314,25,807,3.1
Male,E01007314,12,750,1.6
Female,E01007315,26,827,3.14
Male,E01007315,12,761,1.58
Female,E01007316,29,857,3.38
Male,E01007316,23,853,2.7
Female,E01032505,27,640,4.22
Male,E01032505,17,626,2.72
Female,E01032506,30,723,4.15
Male,E01032506,27,845,3.2
Female,E01032507,22,824,2.67
Male,E01032507,18,789,2.28
Female,E01032508,36,835,4.31
Male,E01032508,16,830,1.93
Female,E01032509,28,669,4.19
Male,E01032509,13,661,1.97
Female,E01032510,36,946,3.81
Male,E01032510,15,895,1.68
Female,E01032511,18,606,2.97
Male,E01032511,11,590,1.86
Female,E01032903,42,1604,2.62
Male,E01032903,30,1599,1.88
Female,E01033747,37,898,4.12
Male,E01033747,27,890,3.03
Female,E01033748,8,730,1.1
Male,E01033748,10,731,1.37
Female,E01033749,7,842,0.83
Male,E01033749,,577,0.52
Female,E01033750,19,1548,1.23
Male,E01033750,7,1522,0.46
Female,E01033751,26,1667,1.56
Male,E01033751,9,1809,0.5
Female,E01033752,12,1602,0.75
Male,E01033752,6,1797,0.33
Female,E01033753,6,554,1.08
Male,E01033753,7,674,1.04
Female,E01033754,29,1851,1.57
Male,E01033754,18,1876,0.96
Female,E01033755,,902,0.22
Male,E01033755,,1026,0.39
Female,E01033756,,1129,0.35
Male,E01033756,,1319,0.08
Female,E01033757,10,1361,0.73
Male,E01033757,7,1264,0.55
Female,E01033758,11,2734,0.4
Male,E01033758,9,2627,0.34
Female,E01033759,48,1530,3.14
Male,E01033759,17,1299,1.31
Female,E01033760,9,2552,0.35
Male,E01033760,,1953,0.15
Female,E01033761,,1819,0.27
Male,E01033761,,1792,0.22
Female,E01033762,18,3043,0.59
Male,E01033762,9,2695,0.33
Female,E01033763,50,1491,3.35
Male,E01033763,28,1633,1.71
Female,E01033764,77,1710,4.5
Male,E01033764,40,1817,2.2
Female,E01033765,44,814,5.41
Male,E01033765,17,800,2.12
Female,E01033766,14,569,2.46
Male,E01033766,,426,1.17
Female,E01033767,28,514,5.45
Male,E01033767,15,514,2.92
Female,E01033768,24,608,3.95
Male,E01033768,16,811,1.97
